
LOG
112784_1.tap created by OTP2TAP 1.01 on Sat Aug 10 20:04:15 2019



-------------------------------------------
PRIMOS TAPESAV 1600 PE
SWT 11/27/84
Tape #1 of 2
Graham Magnetics Verituf 10.5"
.

-------------------------------------------

Rewinding tape.

Reading...

1 x 1024 bytes
Tapemark hit at block 2
1 x 54 bytes
1 x 60 bytes
1 x 102 bytes
1 x 174 bytes
1 x 102 bytes
1 x 60 bytes
1 x 150 bytes
1 x 2018 bytes
1 x 150 bytes
5 x 4096 bytes
1 x 2772 bytes
1 x 150 bytes
1 x 414 bytes
1 x 150 bytes
1 x 1440 bytes
1 x 102 bytes
1 x 256 bytes
1 x 102 bytes
1 x 60 bytes
1 x 150 bytes
76 x 4096 bytes
1 x 3158 bytes
1 x 150 bytes
1 x 60 bytes
1 x 198 bytes
1 x 670 bytes
1 x 198 bytes
32 x 4096 bytes

Medium error hit at block 140
1 x 198 bytes
1 x 152 bytes
1 x 198 bytes
1 x 60 bytes
1 x 198 bytes
1 x 842 bytes
1 x 198 bytes
1 x 2906 bytes
1 x 198 bytes
1 x 212 bytes
1 x 198 bytes
1 x 60 bytes
4 x 246 bytes
1 x 198 bytes
31 x 4096 bytes
1 x 2500 bytes
2 x 198 bytes
14 x 4096 bytes
1 x 2668 bytes
1 x 102 bytes
1 x 92 bytes
1 x 102 bytes
1 x 60 bytes
1 x 150 bytes
1 x 60 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 60 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 60 bytes
1 x 198 bytes
1 x 102 bytes
1 x 198 bytes
1 x 214 bytes
1 x 198 bytes
1 x 770 bytes
1 x 198 bytes
1 x 238 bytes
1 x 198 bytes
1 x 1250 bytes
1 x 198 bytes
1 x 774 bytes
1 x 198 bytes
1 x 2712 bytes
1 x 198 bytes
1 x 2172 bytes
1 x 198 bytes
1 x 298 bytes
1 x 198 bytes
1 x 1716 bytes
1 x 198 bytes
1 x 294 bytes
1 x 198 bytes
1 x 276 bytes
1 x 198 bytes
1 x 362 bytes
1 x 198 bytes
1 x 1416 bytes
1 x 198 bytes
1 x 424 bytes
1 x 198 bytes
1 x 440 bytes
1 x 198 bytes
2 x 4096 bytes
1 x 4024 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 60 bytes
1 x 198 bytes
1 x 60 bytes
1 x 246 bytes
1 x 3148 bytes
1 x 246 bytes
1 x 956 bytes
1 x 198 bytes
1 x 60 bytes
1 x 246 bytes
1 x 956 bytes
1 x 246 bytes
1 x 956 bytes
1 x 198 bytes
1 x 74 bytes
1 x 198 bytes
1 x 116 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 2242 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 28 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 60 bytes
1 x 198 bytes
1 x 10 bytes
1 x 198 bytes
1 x 92 bytes
1 x 198 bytes
1 x 302 bytes
1 x 198 bytes
1 x 1518 bytes
1 x 198 bytes
1 x 200 bytes
1 x 198 bytes
1 x 2300 bytes
1 x 198 bytes
1 x 280 bytes
1 x 198 bytes
1 x 2066 bytes
1 x 198 bytes
1 x 254 bytes
1 x 198 bytes
1 x 2834 bytes
1 x 198 bytes
1 x 492 bytes
1 x 198 bytes
1 x 1556 bytes
1 x 198 bytes
1 x 532 bytes
1 x 198 bytes
1 x 1432 bytes
1 x 198 bytes
1 x 302 bytes
1 x 198 bytes
1 x 1802 bytes
1 x 198 bytes
1 x 190 bytes
1 x 198 bytes
1 x 2248 bytes
1 x 198 bytes
1 x 452 bytes
1 x 198 bytes
1 x 1978 bytes
1 x 198 bytes
1 x 254 bytes
1 x 198 bytes
1 x 1566 bytes
1 x 198 bytes
1 x 522 bytes
1 x 198 bytes
1 x 1550 bytes
1 x 198 bytes
1 x 350 bytes
1 x 198 bytes
1 x 1534 bytes
1 x 198 bytes
1 x 372 bytes
1 x 198 bytes
1 x 1554 bytes
1 x 198 bytes
1 x 354 bytes
1 x 198 bytes
1 x 1746 bytes
1 x 198 bytes
1 x 158 bytes
1 x 198 bytes
1 x 1608 bytes
1 x 198 bytes
1 x 506 bytes
1 x 198 bytes
1 x 1476 bytes
1 x 198 bytes
1 x 258 bytes
1 x 198 bytes
1 x 1442 bytes
1 x 198 bytes
1 x 164 bytes
1 x 198 bytes
1 x 1622 bytes
1 x 198 bytes
1 x 224 bytes
1 x 198 bytes
1 x 1608 bytes
1 x 198 bytes
1 x 178 bytes
1 x 198 bytes
1 x 1514 bytes
1 x 198 bytes
1 x 192 bytes
1 x 198 bytes
1 x 1556 bytes
1 x 198 bytes
1 x 574 bytes
1 x 198 bytes
1 x 2244 bytes
1 x 198 bytes
1 x 238 bytes
1 x 198 bytes
1 x 1974 bytes
1 x 198 bytes
1 x 96 bytes
1 x 198 bytes
1 x 3180 bytes
1 x 198 bytes
1 x 336 bytes
1 x 198 bytes
1 x 2928 bytes
1 x 198 bytes
1 x 454 bytes
1 x 198 bytes
1 x 1952 bytes
1 x 198 bytes
1 x 144 bytes
1 x 198 bytes
1 x 24 bytes
1 x 198 bytes
1 x 154 bytes
1 x 198 bytes
1 x 24 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 60 bytes
1 x 198 bytes
1 x 310 bytes
1 x 198 bytes
1 x 402 bytes
1 x 198 bytes
1 x 60 bytes
1 x 246 bytes
1 x 3652 bytes
1 x 246 bytes
1 x 1160 bytes
1 x 246 bytes
1 x 174 bytes
1 x 246 bytes
1 x 174 bytes
1 x 246 bytes
1 x 74 bytes
1 x 246 bytes
1 x 180 bytes
1 x 150 bytes
1 x 92 bytes
1 x 150 bytes
1 x 60 bytes
1 x 198 bytes
1 x 3772 bytes
1 x 198 bytes
2 x 4096 bytes
1 x 294 bytes
1 x 198 bytes
1 x 2714 bytes
1 x 198 bytes
1 x 1246 bytes
1 x 198 bytes
1 x 616 bytes
1 x 198 bytes
1 x 1594 bytes
1 x 198 bytes
1 x 2476 bytes
1 x 198 bytes
1 x 3526 bytes
1 x 198 bytes
1 x 1260 bytes
1 x 198 bytes
1 x 3510 bytes
1 x 198 bytes
1 x 1044 bytes
1 x 198 bytes
1 x 3404 bytes
1 x 198 bytes
1 x 4096 bytes
1 x 1656 bytes
1 x 198 bytes
1 x 1096 bytes
1 x 198 bytes
1 x 740 bytes
1 x 198 bytes
1 x 608 bytes
1 x 198 bytes
1 x 554 bytes
1 x 198 bytes
1 x 2010 bytes
1 x 198 bytes
1 x 1552 bytes
1 x 198 bytes
1 x 498 bytes
1 x 198 bytes
2 x 4096 bytes
1 x 712 bytes
