
LOG
112784_2.tap created by OTP2TAP 1.01 on Fri Aug 09 21:08:02 2019



-------------------------------------------
PRIMOS TAPSAV TAPE 1600PE
SWT 11/27/84
Tape #2 of 2
.

-------------------------------------------

Rewinding tape.

Reading...

1 x 24 bytes
Tapemark hit at block 2
39 x 4096 bytes
1 x 1918 bytes
1 x 150 bytes
1 x 1310 bytes
1 x 150 bytes
1 x 2078 bytes
1 x 150 bytes
1 x 1128 bytes
1 x 150 bytes
1 x 2058 bytes
1 x 102 bytes
1 x 174 bytes
1 x 102 bytes
1 x 60 bytes
1 x 102 bytes
1 x 60 bytes
1 x 102 bytes
1 x 60 bytes
1 x 102 bytes
1 x 60 bytes
1 x 102 bytes
1 x 60 bytes
1 x 150 bytes
1 x 542 bytes
3 x 150 bytes
1 x 154 bytes
1 x 150 bytes
1 x 90 bytes
1 x 150 bytes
1 x 134 bytes
1 x 150 bytes
1 x 424 bytes
1 x 150 bytes
1 x 158 bytes
1 x 150 bytes
1 x 496 bytes
1 x 150 bytes
1 x 142 bytes
1 x 150 bytes
1 x 448 bytes
1 x 150 bytes
1 x 164 bytes
1 x 150 bytes
1 x 160 bytes
1 x 150 bytes
1 x 182 bytes
1 x 150 bytes
1 x 148 bytes
1 x 150 bytes
1 x 358 bytes
1 x 150 bytes
1 x 382 bytes
1 x 150 bytes
1 x 148 bytes
1 x 150 bytes
1 x 424 bytes
1 x 150 bytes
1 x 144 bytes
1 x 150 bytes
1 x 416 bytes
1 x 150 bytes
1 x 160 bytes
1 x 150 bytes
1 x 464 bytes
1 x 150 bytes
1 x 146 bytes
1 x 150 bytes
1 x 330 bytes
1 x 150 bytes
1 x 162 bytes
1 x 150 bytes
1 x 1386 bytes
1 x 150 bytes
1 x 140 bytes
1 x 150 bytes
1 x 378 bytes
1 x 150 bytes
1 x 242 bytes
1 x 150 bytes
1 x 232 bytes
1 x 150 bytes
1 x 140 bytes
1 x 150 bytes
1 x 416 bytes
3 x 150 bytes
1 x 426 bytes
1 x 150 bytes
1 x 142 bytes
1 x 150 bytes
1 x 434 bytes
